Departments,description,message_clean,tokens,tokens_refined
oncology,"multiple endocrine neoplasia type 2a an autosomal dominant disease characterized by medullary carcinoma of the thyroid, pheochromocytoma, hyperparathyroidism, and occasionally cutaneous lichen amyloidosis.  do flybase slim do rare slim men2a multiple endocrine neoplasia ii sipple syndrome autosomal dominant disease  oncology",multiple endocrine neoplasia type 2a an autosomal dominant disease characterized by medullary carcinoma of the thyroid pheochromocytoma hyperparathyroidism and occasionally cutaneous lichen amyloidosis  do flybase slim do rare slim men2a multiple endocrine neoplasia ii sipple syndrome autosomal dominant disease  oncology,"['multiple', 'endocrine', 'neoplasia', 'type', '2a', 'an', 'autosomal', 'dominant', 'disease', 'characterized', 'by', 'medullary', 'carcinoma', 'of', 'the', 'thyroid', 'pheochromocytoma', 'hyperparathyroidism', 'and', 'occasionally', 'cutaneous', 'lichen', 'amyloidosis', 'do', 'flybase', 'slim', 'do', 'rare', 'slim', 'men2a', 'multiple', 'endocrine', 'neoplasia', 'ii', 'sipple', 'syndrome', 'autosomal', 'dominant', 'disease', 'oncology']","['multiple', 'endocrine', 'neoplasia', 'type', '2a', 'autosomal', 'dominant', 'disease', 'characterized', 'medullary', 'carcinoma', 'thyroid', 'pheochromocytoma', 'hyperparathyroidism', 'occasionally', 'cutaneous', 'lichen', 'amyloidosis', 'flybase', 'slim', 'rare', 'slim', 'men2a', 'multiple', 'endocrine', 'neoplasia', 'ii', 'sipple', 'syndrome', 'autosomal', 'dominant', 'disease', 'oncology']"
cardiology,"arrhythmogenic right ventricular cardiomyopathy an intrinsic cardiomyopathy that is characterized by hypokinetic areas involving the free wall of the right ventricle, with fibrofatty replacement of the right ventricular myocardium, with associated arrhythmias originating in the right ventricle.  do rare slim arrhythmogenic right ventricular dysplasia arrhythmogenic right ventricular dysplasia/cardiomyopathy arvd arvc cardiomyopathy arvd         intrinsic cardiomyopathy  cardiology",arrhythmogenic right ventricular cardiomyopathy an intrinsic cardiomyopathy that is characterized by hypokinetic areas involving the free wall of the right ventricle with fibrofatty replacement of the right ventricular myocardium with associated arrhythmias originating in the right ventricle  do rare slim arrhythmogenic right ventricular dysplasia arrhythmogenic right ventricular dysplasiacardiomyopathy arvd arvc cardiomyopathy arvd         intrinsic cardiomyopathy  cardiology,"['arrhythmogenic', 'right', 'ventricular', 'cardiomyopathy', 'an', 'intrinsic', 'cardiomyopathy', 'that', 'is', 'characterized', 'by', 'hypokinetic', 'areas', 'involving', 'the', 'free', 'wall', 'of', 'the', 'right', 'ventricle', 'with', 'fibrofatty', 'replacement', 'of', 'the', 'right', 'ventricular', 'myocardium', 'with', 'associated', 'arrhythmias', 'originating', 'in', 'the', 'right', 'ventricle', 'do', 'rare', 'slim', 'arrhythmogenic', 'right', 'ventricular', 'dysplasia', 'arrhythmogenic', 'right', 'ventricular', 'dysplasiacardiomyopathy', 'arvd', 'arvc', 'cardiomyopathy', 'arvd', 'intrinsic', 'cardiomyopathy', 'cardiology']","['arrhythmogenic', 'right', 'ventricular', 'cardiomyopathy', 'intrinsic', 'cardiomyopathy', 'characterized', 'hypokinetic', 'areas', 'involving', 'free', 'wall', 'right', 'ventricle', 'fibrofatty', 'replacement', 'right', 'ventricular', 'myocardium', 'associated', 'arrhythmias', 'originating', 'right', 'ventricle', 'rare', 'slim', 'arrhythmogenic', 'right', 'ventricular', 'dysplasia', 'arrhythmogenic', 'right', 'ventricular', 'dysplasiacardiomyopathy', 'arvd', 'arvc', 'cardiomyopathy', 'arvd', 'intrinsic', 'cardiomyopathy', 'cardiology']"
psychiatric,"asperger syndrome an autism spectrum disorder that is characterized by significant difficulties in social interaction, along with restricted and repetitive patterns of behavior and interests. it differs from other autism spectrum disorders by its relative preservation of linguistic and cognitive development.  do rare slim autism spectrum disorder  psychiatric",asperger syndrome an autism spectrum disorder that is characterized by significant difficulties in social interaction along with restricted and repetitive patterns of behavior and interests it differs from other autism spectrum disorders by its relative preservation of linguistic and cognitive development  do rare slim autism spectrum disorder  psychiatric,"['asperger', 'syndrome', 'an', 'autism', 'spectrum', 'disorder', 'that', 'is', 'characterized', 'by', 'significant', 'difficulties', 'in', 'social', 'interaction', 'along', 'with', 'restricted', 'and', 'repetitive', 'patterns', 'of', 'behavior', 'and', 'interests', 'it', 'differs', 'from', 'other', 'autism', 'spectrum', 'disorders', 'by', 'its', 'relative', 'preservation', 'of', 'linguistic', 'and', 'cognitive', 'development', 'do', 'rare', 'slim', 'autism', 'spectrum', 'disorder', 'psychiatric']","['asperger', 'syndrome', 'autism', 'spectrum', 'disorder', 'characterized', 'significant', 'difficulties', 'social', 'interaction', 'along', 'restricted', 'repetitive', 'patterns', 'behavior', 'interests', 'differs', 'autism', 'spectrum', 'disorders', 'relative', 'preservation', 'linguistic', 'cognitive', 'development', 'rare', 'slim', 'autism', 'spectrum', 'disorder', 'psychiatric']"
psychiatric,fatal familial insomnia prion disease  psychiatric,fatal familial insomnia prion disease  psychiatric,"['fatal', 'familial', 'insomnia', 'prion', 'disease', 'psychiatric']","['fatal', 'familial', 'insomnia', 'prion', 'disease', 'psychiatric']"
cardiology,"andersen tawil syndrome a long qt syndrome that has material basis in autosomal dominant inheritance of a mutation in the kcnj2 gene which disrupts the rhythm of the heart's lower chambers (ventricular arrhythmia) and results in an unusually small lower jaw (micrognathia), low set ears, and an abnormal curvature of the fingers called clinodactyly.  andersen cardiodysrhythmic periodic paralysis andersen syndrome ats long qt syndrome 7 lqt7 potassium sensitive cardiac dysrhythmia type long qt syndrome  cardiology",andersen tawil syndrome a long qt syndrome that has material basis in autosomal dominant inheritance of a mutation in the kcnj2 gene which disrupts the rhythm of the hearts lower chambers ventricular arrhythmia and results in an unusually small lower jaw micrognathia low set ears and an abnormal curvature of the fingers called clinodactyly  andersen cardiodysrhythmic periodic paralysis andersen syndrome ats long qt syndrome 7 lqt7 potassium sensitive cardiac dysrhythmia type long qt syndrome  cardiology,"['andersen', 'tawil', 'syndrome', 'a', 'long', 'qt', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'autosomal', 'dominant', 'inheritance', 'of', 'a', 'mutation', 'in', 'the', 'kcnj2', 'gene', 'which', 'disrupts', 'the', 'rhythm', 'of', 'the', 'hearts', 'lower', 'chambers', 'ventricular', 'arrhythmia', 'and', 'results', 'in', 'an', 'unusually', 'small', 'lower', 'jaw', 'micrognathia', 'low', 'set', 'ears', 'and', 'an', 'abnormal', 'curvature', 'of', 'the', 'fingers', 'called', 'clinodactyly', 'andersen', 'cardiodysrhythmic', 'periodic', 'paralysis', 'andersen', 'syndrome', 'ats', 'long', 'qt', 'syndrome', '7', 'lqt7', 'potassium', 'sensitive', 'cardiac', 'dysrhythmia', 'type', 'long', 'qt', 'syndrome', 'cardiology']","['andersen', 'tawil', 'syndrome', 'long', 'qt', 'syndrome', 'material', 'basis', 'autosomal', 'dominant', 'inheritance', 'mutation', 'kcnj2', 'gene', 'disrupts', 'rhythm', 'hearts', 'lower', 'chambers', 'ventricular', 'arrhythmia', 'results', 'unusually', 'small', 'lower', 'jaw', 'micrognathia', 'low', 'set', 'ears', 'abnormal', 'curvature', 'fingers', 'called', 'clinodactyly', 'andersen', 'cardiodysrhythmic', 'periodic', 'paralysis', 'andersen', 'syndrome', 'ats', 'long', 'qt', 'syndrome', '7', 'lqt7', 'potassium', 'sensitive', 'cardiac', 'dysrhythmia', 'type', 'long', 'qt', 'syndrome', 'cardiology']"
cardiology immunogenetics,mulibrey nanism  muscle liver brain eye nanism perheentupa syndrome pericardial constriction and growth failure autosomal recessive disease  cardiology/immunogenetics,mulibrey nanism  muscle liver brain eye nanism perheentupa syndrome pericardial constriction and growth failure autosomal recessive disease  cardiologyimmunogenetics,"['mulibrey', 'nanism', 'muscle', 'liver', 'brain', 'eye', 'nanism', 'perheentupa', 'syndrome', 'pericardial', 'constriction', 'and', 'growth', 'failure', 'autosomal', 'recessive', 'disease', 'cardiologyimmunogenetics']","['mulibrey', 'nanism', 'muscle', 'liver', 'brain', 'eye', 'nanism', 'perheentupa', 'syndrome', 'pericardial', 'constriction', 'growth', 'failure', 'autosomal', 'recessive', 'disease', 'cardiologyimmunogenetics']"
cardiology immunogenetics,danon disease  antopol disease pseudo glycogenosis ii lysosomal storage disease cardiology/immunogenetics ,danon disease  antopol disease pseudo glycogenosis ii lysosomal storage disease cardiologyimmunogenetics ,"['danon', 'disease', 'antopol', 'disease', 'pseudo', 'glycogenosis', 'ii', 'lysosomal', 'storage', 'disease', 'cardiologyimmunogenetics']","['danon', 'disease', 'antopol', 'disease', 'pseudo', 'glycogenosis', 'ii', 'lysosomal', 'storage', 'disease', 'cardiologyimmunogenetics']"
immunogenetics,frasier syndrome autosomal dominant disease  immunogenetics,frasier syndrome autosomal dominant disease  immunogenetics,"['frasier', 'syndrome', 'autosomal', 'dominant', 'disease', 'immunogenetics']","['frasier', 'syndrome', 'autosomal', 'dominant', 'disease', 'immunogenetics']"
immunogenetics ent,usher syndrome a syndrome characterized by a combination of hearing loss and visual impairment.  do rare slim autosomal recessive disease  immunogenetics/ent,usher syndrome a syndrome characterized by a combination of hearing loss and visual impairment  do rare slim autosomal recessive disease  immunogeneticsent,"['usher', 'syndrome', 'a', 'syndrome', 'characterized', 'by', 'a', 'combination', 'of', 'hearing', 'loss', 'and', 'visual', 'impairment', 'do', 'rare', 'slim', 'autosomal', 'recessive', 'disease', 'immunogeneticsent']","['usher', 'syndrome', 'syndrome', 'characterized', 'combination', 'hearing', 'loss', 'visual', 'impairment', 'rare', 'slim', 'autosomal', 'recessive', 'disease', 'immunogeneticsent']"
endocrinology metabolism,familial partial lipodystrophy a lipodystrophy characterized by abnormal subcutaneous adipose tissue distribution beginning in late childhood or early adult life.  dunnigan syndrome kobberling dunnigan syndrome             lipodystrophy  endocrinology/metabolism,familial partial lipodystrophy a lipodystrophy characterized by abnormal subcutaneous adipose tissue distribution beginning in late childhood or early adult life  dunnigan syndrome kobberling dunnigan syndrome             lipodystrophy  endocrinologymetabolism,"['familial', 'partial', 'lipodystrophy', 'a', 'lipodystrophy', 'characterized', 'by', 'abnormal', 'subcutaneous', 'adipose', 'tissue', 'distribution', 'beginning', 'in', 'late', 'childhood', 'or', 'early', 'adult', 'life', 'dunnigan', 'syndrome', 'kobberling', 'dunnigan', 'syndrome', 'lipodystrophy', 'endocrinologymetabolism']","['familial', 'partial', 'lipodystrophy', 'lipodystrophy', 'characterized', 'abnormal', 'subcutaneous', 'adipose', 'tissue', 'distribution', 'beginning', 'late', 'childhood', 'early', 'adult', 'life', 'dunnigan', 'syndrome', 'kobberling', 'dunnigan', 'syndrome', 'lipodystrophy', 'endocrinologymetabolism']"
immunogenetics,"mucosulfatidosis  multiple sulfatase deficiency disease sulfatidosis, juvenile, austin type sphingolipidoses  immunogenetics",mucosulfatidosis  multiple sulfatase deficiency disease sulfatidosis juvenile austin type sphingolipidoses  immunogenetics,"['mucosulfatidosis', 'multiple', 'sulfatase', 'deficiency', 'disease', 'sulfatidosis', 'juvenile', 'austin', 'type', 'sphingolipidoses', 'immunogenetics']","['mucosulfatidosis', 'multiple', 'sulfatase', 'deficiency', 'disease', 'sulfatidosis', 'juvenile', 'austin', 'type', 'sphingolipidoses', 'immunogenetics']"
immunogenetics ,infantile refsum disease  infantile phytanic acid storage disease       peroxisomal disease  immunogenetics ,infantile refsum disease  infantile phytanic acid storage disease       peroxisomal disease  immunogenetics ,"['infantile', 'refsum', 'disease', 'infantile', 'phytanic', 'acid', 'storage', 'disease', 'peroxisomal', 'disease', 'immunogenetics']","['infantile', 'refsum', 'disease', 'infantile', 'phytanic', 'acid', 'storage', 'disease', 'peroxisomal', 'disease', 'immunogenetics']"
immunogenetics,"x linked hypophosphatemic rickets a rickets that results has material basis in x linked mutations in the phex gene that lead to increased circulating levels of fgf 23, a phosphate regulating hormone (phosphatonin), that leads to reduced renal phosphate reabsorption and consequently abnormal bone mineralization.  hypophosphatemia, vitamin d resistant rickets hypophosphatemic rickets x linked dominant rickets, vitamin d resistant vitamin d resistant rickets, x linked x linked hypophosphatemia rickets  immunogenetics",x linked hypophosphatemic rickets a rickets that results has material basis in x linked mutations in the phex gene that lead to increased circulating levels of fgf 23 a phosphate regulating hormone phosphatonin that leads to reduced renal phosphate reabsorption and consequently abnormal bone mineralization  hypophosphatemia vitamin d resistant rickets hypophosphatemic rickets x linked dominant rickets vitamin d resistant vitamin d resistant rickets x linked x linked hypophosphatemia rickets  immunogenetics,"['x', 'linked', 'hypophosphatemic', 'rickets', 'a', 'rickets', 'that', 'results', 'has', 'material', 'basis', 'in', 'x', 'linked', 'mutations', 'in', 'the', 'phex', 'gene', 'that', 'lead', 'to', 'increased', 'circulating', 'levels', 'of', 'fgf', '23', 'a', 'phosphate', 'regulating', 'hormone', 'phosphatonin', 'that', 'leads', 'to', 'reduced', 'renal', 'phosphate', 'reabsorption', 'and', 'consequently', 'abnormal', 'bone', 'mineralization', 'hypophosphatemia', 'vitamin', 'd', 'resistant', 'rickets', 'hypophosphatemic', 'rickets', 'x', 'linked', 'dominant', 'rickets', 'vitamin', 'd', 'resistant', 'vitamin', 'd', 'resistant', 'rickets', 'x', 'linked', 'x', 'linked', 'hypophosphatemia', 'rickets', 'immunogenetics']","['x', 'linked', 'hypophosphatemic', 'rickets', 'rickets', 'results', 'material', 'basis', 'x', 'linked', 'mutations', 'phex', 'gene', 'lead', 'increased', 'circulating', 'levels', 'fgf', '23', 'phosphate', 'regulating', 'hormone', 'phosphatonin', 'leads', 'reduced', 'renal', 'phosphate', 'reabsorption', 'consequently', 'abnormal', 'bone', 'mineralization', 'hypophosphatemia', 'vitamin', 'resistant', 'rickets', 'hypophosphatemic', 'rickets', 'x', 'linked', 'dominant', 'rickets', 'vitamin', 'resistant', 'vitamin', 'resistant', 'rickets', 'x', 'linked', 'x', 'linked', 'hypophosphatemia', 'rickets', 'immunogenetics']"
dermatology,hereditary mucosal leukokeratosis a skin disease characterized by a defect in the normal process of keratinization of the mucosa.  do rare slim white sponge nevus white sponge nevus of cannon skin disease  dermatology,hereditary mucosal leukokeratosis a skin disease characterized by a defect in the normal process of keratinization of the mucosa  do rare slim white sponge nevus white sponge nevus of cannon skin disease  dermatology,"['hereditary', 'mucosal', 'leukokeratosis', 'a', 'skin', 'disease', 'characterized', 'by', 'a', 'defect', 'in', 'the', 'normal', 'process', 'of', 'keratinization', 'of', 'the', 'mucosa', 'do', 'rare', 'slim', 'white', 'sponge', 'nevus', 'white', 'sponge', 'nevus', 'of', 'cannon', 'skin', 'disease', 'dermatology']","['hereditary', 'mucosal', 'leukokeratosis', 'skin', 'disease', 'characterized', 'defect', 'normal', 'process', 'keratinization', 'mucosa', 'rare', 'slim', 'white', 'sponge', 'nevus', 'white', 'sponge', 'nevus', 'cannon', 'skin', 'disease', 'dermatology']"
immunogenetics,"pachyonychia congenita  jackson lawler type pachyonychia congenita jadassohn lewandowsky syndrome pachyonychia congenita type 1 pachyonychia congenita, jadassohn lewandowsky type autosomal dominant disease  immunogenetics",pachyonychia congenita  jackson lawler type pachyonychia congenita jadassohn lewandowsky syndrome pachyonychia congenita type 1 pachyonychia congenita jadassohn lewandowsky type autosomal dominant disease  immunogenetics,"['pachyonychia', 'congenita', 'jackson', 'lawler', 'type', 'pachyonychia', 'congenita', 'jadassohn', 'lewandowsky', 'syndrome', 'pachyonychia', 'congenita', 'type', '1', 'pachyonychia', 'congenita', 'jadassohn', 'lewandowsky', 'type', 'autosomal', 'dominant', 'disease', 'immunogenetics']","['pachyonychia', 'congenita', 'jackson', 'lawler', 'type', 'pachyonychia', 'congenita', 'jadassohn', 'lewandowsky', 'syndrome', 'pachyonychia', 'congenita', 'type', '1', 'pachyonychia', 'congenita', 'jadassohn', 'lewandowsky', 'type', 'autosomal', 'dominant', 'disease', 'immunogenetics']"
nephrology,"gitelman syndrome  hypomagnesemia hypokalemia, primary renal tubular, with hypocalciuria renal tubular transport disease  nephrology",gitelman syndrome  hypomagnesemia hypokalemia primary renal tubular with hypocalciuria renal tubular transport disease  nephrology,"['gitelman', 'syndrome', 'hypomagnesemia', 'hypokalemia', 'primary', 'renal', 'tubular', 'with', 'hypocalciuria', 'renal', 'tubular', 'transport', 'disease', 'nephrology']","['gitelman', 'syndrome', 'hypomagnesemia', 'hypokalemia', 'primary', 'renal', 'tubular', 'hypocalciuria', 'renal', 'tubular', 'transport', 'disease', 'nephrology']"
cardiology,brugada syndrome a heart conduction disease that is characterized by abnormal electrocardiogram (ecg) findings and an increased risk of sudden cardiac death. heart conduction disease  cardiology,brugada syndrome a heart conduction disease that is characterized by abnormal electrocardiogram ecg findings and an increased risk of sudden cardiac death heart conduction disease  cardiology,"['brugada', 'syndrome', 'a', 'heart', 'conduction', 'disease', 'that', 'is', 'characterized', 'by', 'abnormal', 'electrocardiogram', 'ecg', 'findings', 'and', 'an', 'increased', 'risk', 'of', 'sudden', 'cardiac', 'death', 'heart', 'conduction', 'disease', 'cardiology']","['brugada', 'syndrome', 'heart', 'conduction', 'disease', 'characterized', 'abnormal', 'electrocardiogram', 'ecg', 'findings', 'increased', 'risk', 'sudden', 'cardiac', 'death', 'heart', 'conduction', 'disease', 'cardiology']"
immunogenetics,mevalonic aciduria  mevalonate kinase deficiency peroxisomal disease  immunogenetics,mevalonic aciduria  mevalonate kinase deficiency peroxisomal disease  immunogenetics,"['mevalonic', 'aciduria', 'mevalonate', 'kinase', 'deficiency', 'peroxisomal', 'disease', 'immunogenetics']","['mevalonic', 'aciduria', 'mevalonate', 'kinase', 'deficiency', 'peroxisomal', 'disease', 'immunogenetics']"
reproductive biology,lissencephaly a congenital nervous system abnormality characterized by the absence of folds in the cerebral cortex and caused by defective neuronal migration during the 12th to 24th weeks of gestation.  do flybase slim do rare slim congenital nervous system abnormality  reproductive biology,lissencephaly a congenital nervous system abnormality characterized by the absence of folds in the cerebral cortex and caused by defective neuronal migration during the 12th to 24th weeks of gestation  do flybase slim do rare slim congenital nervous system abnormality  reproductive biology,"['lissencephaly', 'a', 'congenital', 'nervous', 'system', 'abnormality', 'characterized', 'by', 'the', 'absence', 'of', 'folds', 'in', 'the', 'cerebral', 'cortex', 'and', 'caused', 'by', 'defective', 'neuronal', 'migration', 'during', 'the', '12th', 'to', '24th', 'weeks', 'of', 'gestation', 'do', 'flybase', 'slim', 'do', 'rare', 'slim', 'congenital', 'nervous', 'system', 'abnormality', 'reproductive', 'biology']","['lissencephaly', 'congenital', 'nervous', 'system', 'abnormality', 'characterized', 'absence', 'folds', 'cerebral', 'cortex', 'caused', 'defective', 'neuronal', 'migration', '12th', '24th', 'weeks', 'gestation', 'flybase', 'slim', 'rare', 'slim', 'congenital', 'nervous', 'system', 'abnormality', 'reproductive', 'biology']"
reproductive biology,periventricular nodular heterotopia a congenital nervous system abnormality characterized by non proper migration of neurons during the early development of the fetal brain.  do rare slim periventricular heterotopia           congenital nervous system abnormality  reproductive biology,periventricular nodular heterotopia a congenital nervous system abnormality characterized by non proper migration of neurons during the early development of the fetal brain  do rare slim periventricular heterotopia           congenital nervous system abnormality  reproductive biology,"['periventricular', 'nodular', 'heterotopia', 'a', 'congenital', 'nervous', 'system', 'abnormality', 'characterized', 'by', 'non', 'proper', 'migration', 'of', 'neurons', 'during', 'the', 'early', 'development', 'of', 'the', 'fetal', 'brain', 'do', 'rare', 'slim', 'periventricular', 'heterotopia', 'congenital', 'nervous', 'system', 'abnormality', 'reproductive', 'biology']","['periventricular', 'nodular', 'heterotopia', 'congenital', 'nervous', 'system', 'abnormality', 'characterized', 'non', 'proper', 'migration', 'neurons', 'early', 'development', 'fetal', 'brain', 'rare', 'slim', 'periventricular', 'heterotopia', 'congenital', 'nervous', 'system', 'abnormality', 'reproductive', 'biology']"
dermatology ,"arachnodactyly buruli ulcer disease a primary bacterial infectious disease that results in infection located in skin or located in subcutaneous tissue, has material basis in mycobacterium ulcerans, which could be transmitted by insects. the bacterium produces a toxin, named mycolactone, which causes subcutaneous fat necrosis and inhibits an immune response. the infection has symptom nodule, which is a painless, mobile swelling in the skin. bairnsdale ulcer daintree ulcer mossman ulcer searl ulcer searle's ulcer primary bacterial infectious disease dermatology ",arachnodactyly buruli ulcer disease a primary bacterial infectious disease that results in infection located in skin or located in subcutaneous tissue has material basis in mycobacterium ulcerans which could be transmitted by insects the bacterium produces a toxin named mycolactone which causes subcutaneous fat necrosis and inhibits an immune response the infection has symptom nodule which is a painless mobile swelling in the skin bairnsdale ulcer daintree ulcer mossman ulcer searl ulcer searles ulcer primary bacterial infectious disease dermatology ,"['arachnodactyly', 'buruli', 'ulcer', 'disease', 'a', 'primary', 'bacterial', 'infectious', 'disease', 'that', 'results', 'in', 'infection', 'located', 'in', 'skin', 'or', 'located', 'in', 'subcutaneous', 'tissue', 'has', 'material', 'basis', 'in', 'mycobacterium', 'ulcerans', 'which', 'could', 'be', 'transmitted', 'by', 'insects', 'the', 'bacterium', 'produces', 'a', 'toxin', 'named', 'mycolactone', 'which', 'causes', 'subcutaneous', 'fat', 'necrosis', 'and', 'inhibits', 'an', 'immune', 'response', 'the', 'infection', 'has', 'symptom', 'nodule', 'which', 'is', 'a', 'painless', 'mobile', 'swelling', 'in', 'the', 'skin', 'bairnsdale', 'ulcer', 'daintree', 'ulcer', 'mossman', 'ulcer', 'searl', 'ulcer', 'searles', 'ulcer', 'primary', 'bacterial', 'infectious', 'disease', 'dermatology']","['arachnodactyly', 'buruli', 'ulcer', 'disease', 'primary', 'bacterial', 'infectious', 'disease', 'results', 'infection', 'located', 'skin', 'located', 'subcutaneous', 'tissue', 'material', 'basis', 'mycobacterium', 'ulcerans', 'could', 'transmitted', 'insects', 'bacterium', 'produces', 'toxin', 'named', 'mycolactone', 'causes', 'subcutaneous', 'fat', 'necrosis', 'inhibits', 'immune', 'response', 'infection', 'symptom', 'nodule', 'painless', 'mobile', 'swelling', 'skin', 'bairnsdale', 'ulcer', 'daintree', 'ulcer', 'mossman', 'ulcer', 'searl', 'ulcer', 'searles', 'ulcer', 'primary', 'bacterial', 'infectious', 'disease', 'dermatology']"
reproductive biology,sertoli cell only syndrome  del castillo syndrome germinal cell aplasia      male infertility  reproductive biology,sertoli cell only syndrome  del castillo syndrome germinal cell aplasia      male infertility  reproductive biology,"['sertoli', 'cell', 'only', 'syndrome', 'del', 'castillo', 'syndrome', 'germinal', 'cell', 'aplasia', 'male', 'infertility', 'reproductive', 'biology']","['sertoli', 'cell', 'syndrome', 'del', 'castillo', 'syndrome', 'germinal', 'cell', 'aplasia', 'male', 'infertility', 'reproductive', 'biology']"
oncology,juvenile myelomonocytic leukemia myelodysplastic/myeloproliferative neoplasm  oncology,juvenile myelomonocytic leukemia myelodysplasticmyeloproliferative neoplasm  oncology,"['juvenile', 'myelomonocytic', 'leukemia', 'myelodysplasticmyeloproliferative', 'neoplasm', 'oncology']","['juvenile', 'myelomonocytic', 'leukemia', 'myelodysplasticmyeloproliferative', 'neoplasm', 'oncology']"
dietetics,hyperphosphatemia phosphorus metabolism disease  .dietetics,hyperphosphatemia phosphorus metabolism disease  dietetics,"['hyperphosphatemia', 'phosphorus', 'metabolism', 'disease', 'dietetics']","['hyperphosphatemia', 'phosphorus', 'metabolism', 'disease', 'dietetics']"
immunogenetics,wolf hirschhorn syndrome   do flybase slim 4p deletion syndrome chromosome 4p16.3 deletion syndrome pitt syndrome pitt rogers danks syndrome chromosomal deletion syndrome  immunogenetics,wolf hirschhorn syndrome   do flybase slim 4p deletion syndrome chromosome 4p163 deletion syndrome pitt syndrome pitt rogers danks syndrome chromosomal deletion syndrome  immunogenetics,"['wolf', 'hirschhorn', 'syndrome', 'do', 'flybase', 'slim', '4p', 'deletion', 'syndrome', 'chromosome', '4p163', 'deletion', 'syndrome', 'pitt', 'syndrome', 'pitt', 'rogers', 'danks', 'syndrome', 'chromosomal', 'deletion', 'syndrome', 'immunogenetics']","['wolf', 'hirschhorn', 'syndrome', 'flybase', 'slim', '4p', 'deletion', 'syndrome', 'chromosome', '4p163', 'deletion', 'syndrome', 'pitt', 'syndrome', 'pitt', 'rogers', 'danks', 'syndrome', 'chromosomal', 'deletion', 'syndrome', 'immunogenetics']"
immunogenetics,aspartylglucosaminuria  aspartylglucosaminidase deficiency aspartylglycosaminuria glycosylasparaginase deficiency lysosomal storage disease  immunogenetics,aspartylglucosaminuria  aspartylglucosaminidase deficiency aspartylglycosaminuria glycosylasparaginase deficiency lysosomal storage disease  immunogenetics,"['aspartylglucosaminuria', 'aspartylglucosaminidase', 'deficiency', 'aspartylglycosaminuria', 'glycosylasparaginase', 'deficiency', 'lysosomal', 'storage', 'disease', 'immunogenetics']","['aspartylglucosaminuria', 'aspartylglucosaminidase', 'deficiency', 'aspartylglycosaminuria', 'glycosylasparaginase', 'deficiency', 'lysosomal', 'storage', 'disease', 'immunogenetics']"
immunogenetics,antley bixler syndrome an autosomal recessive disease that is characterized at birth or prenatally by malformations and deformities affecting the majority of the skeleton and other areas of the body with autosomal recessive inheritance of the fgfr2 gene.  trapezoidal cephaly synostosis syndrome autosomal recessive disease  immunogenetics,antley bixler syndrome an autosomal recessive disease that is characterized at birth or prenatally by malformations and deformities affecting the majority of the skeleton and other areas of the body with autosomal recessive inheritance of the fgfr2 gene  trapezoidal cephaly synostosis syndrome autosomal recessive disease  immunogenetics,"['antley', 'bixler', 'syndrome', 'an', 'autosomal', 'recessive', 'disease', 'that', 'is', 'characterized', 'at', 'birth', 'or', 'prenatally', 'by', 'malformations', 'and', 'deformities', 'affecting', 'the', 'majority', 'of', 'the', 'skeleton', 'and', 'other', 'areas', 'of', 'the', 'body', 'with', 'autosomal', 'recessive', 'inheritance', 'of', 'the', 'fgfr2', 'gene', 'trapezoidal', 'cephaly', 'synostosis', 'syndrome', 'autosomal', 'recessive', 'disease', 'immunogenetics']","['antley', 'bixler', 'syndrome', 'autosomal', 'recessive', 'disease', 'characterized', 'birth', 'prenatally', 'malformations', 'deformities', 'affecting', 'majority', 'skeleton', 'areas', 'body', 'autosomal', 'recessive', 'inheritance', 'fgfr2', 'gene', 'trapezoidal', 'cephaly', 'synostosis', 'syndrome', 'autosomal', 'recessive', 'disease', 'immunogenetics']"
immunogenetics,campomelic dysplasia an osteochondrodysplasia that has material basis in a mutation in chromosome 17 which results in bowing in the located in tibia or located in femur.  acampomelic campomelic dysplasia        osteochondrodysplasia  immunogenetics,campomelic dysplasia an osteochondrodysplasia that has material basis in a mutation in chromosome 17 which results in bowing in the located in tibia or located in femur  acampomelic campomelic dysplasia        osteochondrodysplasia  immunogenetics,"['campomelic', 'dysplasia', 'an', 'osteochondrodysplasia', 'that', 'has', 'material', 'basis', 'in', 'a', 'mutation', 'in', 'chromosome', '17', 'which', 'results', 'in', 'bowing', 'in', 'the', 'located', 'in', 'tibia', 'or', 'located', 'in', 'femur', 'acampomelic', 'campomelic', 'dysplasia', 'osteochondrodysplasia', 'immunogenetics']","['campomelic', 'dysplasia', 'osteochondrodysplasia', 'material', 'basis', 'mutation', 'chromosome', '17', 'results', 'bowing', 'located', 'tibia', 'located', 'femur', 'acampomelic', 'campomelic', 'dysplasia', 'osteochondrodysplasia', 'immunogenetics']"
